Company,Video_URL,Description,Industry,Market_Segment,Email,Website,Booth,Company_URL
Cassette,https://youtu.be/,Sustainable wall and floor panels,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://cassette-construction.com,Booth:20,https://create-x.gatech.edu/node/3568
EnergyEase,https://youtu.be/rEpdFTMAKKc,Our application unveils the potential of energy efficiency for your home only in a few minutes,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:21,https://create-x.gatech.edu/node/3569
Books and More LLC,https://youtu.be/U36hbf4EGTQ,"A children's brand that gives kids positive diverse representation in the books, toys, and clothes that they wear.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://myrootsarerich.org/collections/all,Booth:22,https://create-x.gatech.edu/node/3570
SWĀ,https://youtu.be/Wk8Ze36aHuU,Readily accessible portable water tester strips.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://drinkwithswa.com,Booth:23,https://create-x.gatech.edu/node/3571
BlueDisk Inc.,https://youtu.be/aasB1lNT7to,"Solar, after hours.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.bluediskinc.com/,Booth:1,https://create-x.gatech.edu/node/3552
C&P R&D,https://youtu.be/HTNd9GgDU5I,Developing spherical actuators to simplify engineering.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://cnprnd.com/home,Booth:2,https://create-x.gatech.edu/node/3553
Reditus Space Inc.,https://youtu.be/3_j2oH6PBHk,Reditus Space enables In-Space Manufacturing by providing microgravity as a service using reusable spacecraft architectures for manufacturing and experimentation in space at scale.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.reditus.space/,Booth:3,https://create-x.gatech.edu/node/3554
TuneTunnel,https://youtu.be/iUiy-Wle1wk,"TuneTunnel is a digital music distribution and label curation service that offers free and efficient upload of music to platforms such as Spotify, Apple Music and more, with complementary services such as promotion.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://tunetunnel.com,Booth:33,https://create-x.gatech.edu/node/3578
ApexFighter (ex Strike),https://youtu.be/MKa_Pfx_v2c,"Our device delivers real-time metrics on punching power, speed, and more, helping fighters monitor and enhance their performance during training and fights, while also boosting the entertainment value of the sport.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.theapexfighter.com,Booth:34,https://create-x.gatech.edu/node/3579
Nut Golf Inc,https://youtu.be/r9qxGOTX2f0,Enjoy the thrill of the PGA by competing in a league against your friends,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://golfnuts.io,Booth:35,https://create-x.gatech.edu/node/3580
Canopy,https://youtu.be/ZLC8buepV9E,"Duet revitalizes musical composition for composers providing suggestions for autocomplete, analysis, and more making composition faster, easier, and more compelling.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://canopyai.framer.website/,Booth:71,https://create-x.gatech.edu/node/3612
BioVR,https://youtu.be/VSfVbLSCHBE,Revolutionizing fitness with VR and Biofeedback Integration.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.biovr.tech,Booth:72,https://create-x.gatech.edu/node/3613
"Aayats, Inc.",https://youtu.be/o_Za7_jBFio,Aayats connects recording artists who dream of creating high-quality music with music industry professionals who can make that dream a reality on a AI-powered two-sided marketplace.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.aayats.com,Booth:73,https://create-x.gatech.edu/node/3614
Athlete Factory,https://youtu.be/6kOgdRTv8z0,"Online marketplace for sport services provided by college athletes or professionals to youth athletes, high schools, and clubs.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://athfactory.io,Booth:74,https://create-x.gatech.edu/node/3615
Projexions,https://youtu.be/eIBLwJgylqc,"Projexions specializes in transforming betting tools for Daily Fantasy Sports (DFS) applications like Prizepicks and Underdog Fantasy. Our focus is on identifying advantageous opportunities within these apps by optimizing player prop selections.We achieve this by analyzing data from various major sportsbooks and pinpointing significant discrepancies between these sportsbooks and the DFS apps, thereby helping users make more informed and potentially profitable bets.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:75,https://create-x.gatech.edu/node/3616
"Soloflow, Inc.",https://youtu.be/lJPtNN0p39k,Redefining File Sharing and Feedback for Audio Professionals,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://soloflow.io,Booth:76,https://create-x.gatech.edu/node/3617
Melception,https://youtu.be/Ewbh9jTi50s,Melception is an online AI-driven music arrangement service that tailors your music to your taste and control.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.melception.com/,Booth:77,https://create-x.gatech.edu/node/3618
Maygra,https://youtu.be/2xL-jnWTI-Y,"AI influenced design, forged by human hands.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.maygra.one/,Booth:78,https://create-x.gatech.edu/node/3619
DivineDrive Inc.,https://youtu.be/E1V2Tnv3918,"We at DivineDrive aim to maximize hydration, maximize energy, and minimize the risk of injury due to dehydration through our specialized formula. This formula accomplishes a harmonic union of energy and hydration agents while acting in accordance with NCAA guidelines. The current sports beverage market lacks a product of this nature, creating a high projected demand for DivineDrive. Our priority is the safety of our customers, as well as the overall streamline of benefits our product provides.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.drinkdivinedrive.com,Booth:79,https://create-x.gatech.edu/node/3620
"AYe Producer, Inc.",https://youtu.be/b-rMjloBMH0,We build digital storefronts for independent TV/Film Artists to sell merchandise to help with production budgets.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.atlmoviemerch.com,Booth:80,https://create-x.gatech.edu/node/3621
"ReelTunes, Inc.",https://youtu.be/Vh3S0cDqsjc,Musicians will buy content creator promotions on ReelTunes for secure access to the content creator's audience.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://ReelTunes.io,Booth:81,https://create-x.gatech.edu/node/3622
WattEdge,https://youtu.be/gPeH1PK6OU4,"Utility, industrial equipment and EV manufacturers will buy our advanced MOVs because of their robustness and power handling capabilities.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:27,https://create-x.gatech.edu/node/3645
Durin Mining Technologies,N/A,Building autonomous drilling rigs for mineral exploration,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://durindrilling.com,,https://create-x.gatech.edu/node/3874
PecSense,https://youtu.be/sj2cmrfYgco,We give parents the data they need to manage their child's pectus carinatum treatment,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,,https://create-x.gatech.edu/node/3875
"Smartversity, Inc.",https://youtu.be/P1vMTSCHZxE,"Empowering individuals with personalized, AI-driven video courses to master any topic at their own pace.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.smartversity.ai,,https://create-x.gatech.edu/node/3876
Play Therapy Web,https://youtu.be/QrzMqhbfLH8,"A virtual playroom for play therapy, accessible from the comfort of your own home","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://playtherapyweb.weebly.com,,https://create-x.gatech.edu/node/3877
Low-cost solid-state Li-ion batteries,N/A,EV manufacturing and grid-scale energy storage application will buy the low-cost solid-state Li-ion batteries because of the low price.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,,https://create-x.gatech.edu/node/3646
Projection-based Two-Photon Lithography (P-TPL),N/A,"Revolutionizing nanoscale polymer printing with 3D technology: Achieve unprecedented speed and precision, 1000x faster than existing methods.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,,https://create-x.gatech.edu/node/3861
Intuitive Haptics,https://youtu.be/TudRteoQ9S4,"Prosthesis, exoskeleton, and rehabilitative device companies will implement our haptic design and control techniques into their hardware/robotic devices to be able to directly apply complex haptic feedback signals to improve intuitive control/touch feedback to a user.",Industry:Not present,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://youtu.be/TudRteoQ9S4,,https://create-x.gatech.edu/node/3595
CirculaTech,https://youtu.be/YzlDt9W4PAg,"CirculaTech is advancing cardiac surgery with ThoraFlush, a proactive clog-preventing surgical drain that will provide reliable drainage without exception.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.linkedin.com/company/circulatech/?viewAsMember=true,,https://create-x.gatech.edu/node/3867
Compliant Inc.,https://youtu.be/NwTOLA4A_yQ,LLMs to automate documentary trade finance,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://compliantlabs.ai,,https://create-x.gatech.edu/node/3869
"Thinking Lens, Inc",https://youtu.be/i5eIDez_I2I,Reframing thoughts and everyday mental self-care made easy.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://thinkinglens.app,,https://create-x.gatech.edu/node/3641
ChondroMem,N/A,Advanced therapies for orthopedic and musculoskeletal repair,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,,https://create-x.gatech.edu/node/3873
